shapeName_adm2,shapeID_adm2,shapeName_adm1,shapeID_adm1,overlap_adm1,treatment,esa_lc_2015_rainfed_cropland,esa_lc_2015_mosaic_cropland,esa_lc_2015_forest,esa_lc_2015_urban,esa_lc_2015_irrigated_cropland,esa_lc_2015_grassland,esa_lc_2015_shrubland,esa_lc_2015_water_bodies,esa_lc_2015_bare_areas,esa_lc_2015_wetland,esa_lc_2015_sparse_vegetation,esa_lc_2020_rainfed_cropland,esa_lc_2020_mosaic_cropland,esa_lc_2020_forest,esa_lc_2020_urban,esa_lc_2020_irrigated_cropland,esa_lc_2020_grassland,esa_lc_2020_shrubland,esa_lc_2020_water_bodies,esa_lc_2020_bare_areas,esa_lc_2020_wetland,esa_lc_2020_sparse_vegetation
Wa Municipal,2480657B26357719954092,Upper West Region,69750345B48673213774244,0.9999999999999978,0,1461.0,2039.0,48.0,89.0,0.0,0.0,2846.0,3.0,0.0,0.0,0.0,1476.0,2160.0,54.0,164.0,0.0,0.0,2629.0,3.0,0.0,0.0,0.0
Wenchi Municipal,2480657B27014820297576,Bono Region,69750345B13833050062966,0.9898243961512588,1,3071.0,4150.0,5277.0,103.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,3041.0,4068.0,5377.0,115.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
Nadowli-kaleo,2480657B27045720373273,Upper West Region,69750345B48673213774244,0.9999278900515873,0,1221.0,4086.0,11.0,4.0,0.0,0.0,7156.0,8.0,0.0,0.0,0.0,1288.0,4253.0,13.0,12.0,0.0,0.0,6912.0,8.0,0.0,0.0,0.0
Afigya Kwabre South,2480657B27047738560833,Ashanti Region,69750345B3295588325057,1.0000000000000009,0,2279.0,14.0,0.0,238.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2062.0,6.0,0.0,463.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0
Savelugu,2480657B27215926841583,Northern Region,69750345B37738609557703,0.9989745380344819,1,5410.0,2645.0,2264.0,10.0,182.0,6.0,6523.0,57.0,0.0,6.0,0.0,5696.0,2734.0,2606.0,52.0,181.0,6.0,5765.0,57.0,0.0,6.0,0.0
South Dayi,2480657B27395942809935,Volta Region,69750345B58204744476950,0.9573253855339312,0,2031.0,359.0,227.0,23.0,0.0,0.0,26.0,1366.0,0.0,0.0,0.0,1844.0,262.0,506.0,28.0,0.0,0.0,26.0,1366.0,0.0,0.0,0.0
Biakoye,2480657B27736636353654,Oti Region,69750345B12045161590865,0.9997857839531764,0,4729.0,2422.0,1248.0,37.0,1.0,0.0,102.0,3675.0,1.0,0.0,0.0,4587.0,2229.0,1613.0,40.0,0.0,0.0,89.0,3651.0,6.0,0.0,0.0
Ejura-sekyedumase,2480657B28564915274944,Ashanti Region,69750345B3295588325057,0.9289625292127408,0,5731.0,3124.0,5690.0,68.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,5480.0,2897.0,6164.0,76.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0
Kadjebi,2480657B29295475961782,Oti Region,69750345B12045161590865,0.9928850629018573,0,2309.0,1767.0,3526.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2280.0,1743.0,3573.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Ayawaso East Municipal,2480657B29980074443403,Greater Accra Region,69750345B46963341226980,1.0000000000000002,0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosome Freho,2480657B30283206314404,Ashanti Region,69750345B3295588325057,0.9998823410098014,0,4521.0,326.0,1489.0,45.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,4683.0,332.0,1321.0,45.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
Abura-asebu-kwamankese,2480657B30493820921,Central Region,69750345B67040307067067,0.9982712646444936,0,4102.0,8.0,8.0,144.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4092.0,8.0,9.0,153.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
North East Gonja,2480657B30922977157044,Savannah Region,69750345B26994269439887,0.9994747440901242,0,3837.0,4959.0,45262.0,26.0,12.0,16.0,7219.0,4854.0,4.0,8.0,8.0,3452.0,4322.0,46842.0,43.0,11.0,13.0,6647.0,4855.0,4.0,8.0,8.0
Ajumako-enyan-essiam,2480657B3117094904377,Central Region,69750345B67040307067067,1.0000000000000022,0,5698.0,0.0,4.0,76.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,5698.0,0.0,4.0,76.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0
Cape Coast Metropolitan,2480657B31989943834082,Central Region,69750345B67040307067067,0.9837675050796552,0,994.0,12.0,42.0,341.0,0.0,0.0,1.0,54.0,0.0,2.0,0.0,985.0,9.0,40.0,355.0,0.0,0.0,1.0,54.0,0.0,2.0,0.0
Sekyere Kumawu,2480657B32008532681061,Ashanti Region,69750345B3295588325057,0.9999999999999982,0,5112.0,1042.0,34.0,46.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,5111.0,1041.0,36.0,47.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0
Akyem Mansa,2480657B32538733435540,Eastern Region,69750345B54645730941985,0.998893009375355,0,6481.0,76.0,185.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6466.0,71.0,201.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pru West,2480657B32965552352903,Bono East Region,69750345B43572680159989,0.9999273369586157,0,206.0,124.0,16673.0,14.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,169.0,82.0,16751.0,15.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0
Sekondi Takoradi Metropolis,2480657B3368374944964,Western Region,69750345B38025690459934,0.984020846329763,0,520.0,23.0,20.0,424.0,0.0,0.0,3.0,63.0,0.0,0.0,0.0,470.0,14.0,12.0,493.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0
Tema Metropolitan,2480657B34044169329977,Greater Accra Region,69750345B46963341226980,0.9906685280300804,0,0.0,0.0,0.0,484.0,1.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0
North Tongu,2480657B35012095074914,Volta Region,69750345B58204744476950,0.9945440169855564,0,7936.0,1729.0,1203.0,38.0,0.0,0.0,1215.0,261.0,8.0,4.0,0.0,7619.0,1641.0,1538.0,40.0,0.0,0.0,1283.0,261.0,8.0,4.0,0.0
Wa West,2480657B35206472883168,Upper West Region,69750345B48673213774244,0.9405693596567636,0,665.0,5284.0,245.0,0.0,2.0,0.0,10187.0,10.0,0.0,0.0,0.0,683.0,5539.0,321.0,0.0,2.0,0.0,9838.0,10.0,0.0,0.0,0.0
Ho Municipal,2480657B35240131522033,Volta Region,69750345B58204744476950,0.9985529892574869,0,3086.0,1189.0,2008.0,118.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2845.0,1053.0,2356.0,149.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Korle Klottey Municipal,2480657B35357833911053,Greater Accra Region,69750345B46963341226980,0.9990982011917957,0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Bawku West,2480657B35637781657714,Upper East Region,69750345B7467317238909,0.9993987089632211,0,6429.0,1279.0,1912.0,9.0,0.0,0.0,2273.0,12.0,0.0,0.0,0.0,6441.0,1276.0,2619.0,22.0,0.0,0.0,1544.0,12.0,0.0,0.0,0.0
Tolon,2480657B36155100412367,Northern Region,69750345B37738609557703,0.9482084672654478,0,7374.0,1678.0,2754.0,9.0,40.0,0.0,3059.0,20.0,0.0,0.0,0.0,7427.0,1668.0,2954.0,12.0,40.0,0.0,2813.0,20.0,0.0,0.0,0.0
Central Tongu,2480657B36678414015123,Volta Region,69750345B58204744476950,0.9999999999999983,0,5274.0,1609.0,194.0,5.0,0.0,0.0,373.0,117.0,0.0,0.0,0.0,5198.0,1579.0,318.0,5.0,0.0,0.0,355.0,117.0,0.0,0.0,0.0
Nzema East,2480657B37092877755739,Western Region,69750345B38025690459934,0.9987531197313916,0,6949.0,2251.0,2618.0,19.0,0.0,0.0,1.0,63.0,0.0,19.0,0.0,6659.0,2200.0,2953.0,20.0,0.0,0.0,1.0,63.0,0.0,24.0,0.0
Amansie South,2480657B37143689168174,Ashanti Region,69750345B3295588325057,0.986259505063628,0,5040.0,288.0,1232.0,73.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4607.0,272.0,1605.0,151.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Asuogyaman,2480657B37277876999120,Eastern Region,69750345B54645730941985,0.5219099900040661,1,3794.0,923.0,512.0,35.0,72.0,0.0,36.0,3069.0,0.0,0.0,0.0,3719.0,891.0,647.0,37.0,60.0,0.0,50.0,3037.0,0.0,0.0,0.0
Sene West,2480657B37380438315906,Bono East Region,69750345B43572680159989,0.9999295598369978,0,567.0,622.0,31883.0,31.0,0.0,14.0,909.0,1283.0,13.0,0.0,0.0,550.0,594.0,31939.0,35.0,0.0,14.0,920.0,1257.0,13.0,0.0,0.0
Sekyere Afram Plains North,2480657B37542209080123,Ashanti Region,69750345B3295588325057,0.9679482149199161,0,3282.0,1419.0,30707.0,3.0,0.0,0.0,2965.0,0.0,0.0,0.0,0.0,3197.0,1340.0,31382.0,3.0,0.0,0.0,2454.0,0.0,0.0,0.0,0.0
Nkoranza South,2480657B38880944597072,Bono East Region,69750345B43572680159989,0.9186568377016358,0,3860.0,3768.0,2422.0,88.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3638.0,3506.0,2887.0,107.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Asante Akim South,2480657B39079904074923,Ashanti Region,69750345B3295588325057,0.9168106938224125,0,9788.0,1240.0,1564.0,98.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9788.0,1240.0,1556.0,106.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ga North Municipal,2480657B39319620746428,Greater Accra Region,69750345B46963341226980,0.81712512098803,1,1074.0,15.0,10.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,10.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bole,2480657B39398526932747,Savannah Region,69750345B26994269439887,0.9946549633214052,0,202.0,301.0,56226.0,38.0,2.0,0.0,8314.0,1477.0,0.0,169.0,0.0,168.0,286.0,57099.0,66.0,2.0,0.0,7458.0,1486.0,0.0,164.0,0.0
Agona West Municipal,2480657B39435178884870,Central Region,69750345B67040307067067,0.9987967869008828,1,3873.0,6.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.0,6.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
